budget(in million),revenue(in million),content_score,user_score,genres,director,release_year,release_month,release_day,release_weekday,run_time (in minuts),title,url
60.0,176.070171,100,67,"Action,Crime",F. Gary Gray,2003,5,30,4,110,The Italian Job,https://www.themoviedb.org/movie/9654
3.5,nan,100,80,"Science Fiction,Action,Animation,Mystery",Jay Oliva,2013,1,29,1,78,"Batman: The Dark Knight Returns, Part 2",https://www.themoviedb.org/movie/142061
nan,nan,100,70,"Mystery,Drama,History,Family,Thriller",T.C. Christensen,2015,6,5,4,94,The Cokeville Miracle,https://www.themoviedb.org/movie/339060
3.0,21.0,100,76,"Family,Animation",Burny Mattinson,1983,12,16,4,26,Mickey's Christmas Carol,https://www.themoviedb.org/movie/14813
nan,nan,100,61,"Romance,Comedy",Luke Snellin,2019,11,8,4,93,Let It Snow,https://www.themoviedb.org/movie/295151
30.0,163.64927,93,66,"Adventure,Fantasy,Animation,Science Fiction,Family",Kunihiko Yuyama,2000,7,21,4,84,Pokémon: The Movie 2000,https://www.themoviedb.org/movie/12599
30.0,75.505973,100,63,"Horror,Thriller",Steve Niles,2007,10,19,4,113,30 Days of Night,https://www.themoviedb.org/movie/4513
nan,nan,100,60,"Family,Music",Peter Barsocchini,2017,3,18,5,90,Sharpay's Fabulous Adventure,https://www.themoviedb.org/movie/60405
1.0,62.88209,100,55,"Horror,Thriller,Mystery",Levan Gabriadze,2015,4,17,4,82,Unfriended,https://www.themoviedb.org/movie/277685
nan,nan,93,63,"Adventure,Family",Gilles de Maistre,2021,10,13,2,99,The Wolf and the Lion,https://www.themoviedb.org/movie/780382
nan,nan,93,80,"Music,Documentary",Carolina María García Fernández,2021,2,26,4,nan,Soy Luna: The Last Concert,https://www.themoviedb.org/movie/779783
nan,nan,100,75,"Documentary,Drama",Jeff Orlowski,2020,9,9,2,94,The Social Dilemma,https://www.themoviedb.org/movie/656690
18.0,2.3,100,78,Drama,Noah Baumbach,2019,11,6,2,137,Marriage Story,https://www.themoviedb.org/movie/492188
nan,nan,100,57,"Drama,Family",Chip Rosenbloom,1996,11,30,5,93,Shiloh,https://www.themoviedb.org/movie/33660
35.0,4.23,100,69,"Thriller,Romance,Adventure",Baltasar Kormákur,2018,6,1,4,96,Adrift,https://www.themoviedb.org/movie/429300
